Entity,Code,Day,total_boosters_per_hundred
Africa,,2021-10-28,0
Africa,,2021-10-29,0
Africa,,2021-10-30,0.01
Africa,,2021-10-31,0.01
Africa,,2021-11-01,0.01
Africa,,2021-11-02,0.01
Africa,,2021-11-03,0.01
Africa,,2021-11-04,0.01
Africa,,2021-11-05,0.01
Africa,,2021-11-06,0.01
Africa,,2021-11-07,0.01
Africa,,2021-11-08,0.01
Africa,,2021-11-09,0.02
Africa,,2021-11-10,0.02
Africa,,2021-11-11,0.02
Africa,,2021-11-12,0.02
Africa,,2021-11-13,0.02
Africa,,2021-11-14,0.02
Africa,,2021-11-15,0.02
Africa,,2021-11-16,0.02
Africa,,2021-11-17,0.02
Africa,,2021-11-18,0.02
Africa,,2021-11-19,0.02
Africa,,2021-11-20,0.02
Africa,,2021-11-21,0.02
Africa,,2021-11-22,0.02
Africa,,2021-11-23,0.03
Africa,,2021-11-24,0.03
Africa,,2021-11-25,0.03
Africa,,2021-11-26,0.03
Africa,,2021-11-27,0.03
Africa,,2021-11-28,0.03
Africa,,2021-11-29,0.03
Africa,,2021-11-30,0.03
Africa,,2021-12-01,0.03
Africa,,2021-12-02,0.03
Africa,,2021-12-03,0.03
Africa,,2021-12-04,0.03
Africa,,2021-12-05,0.04
Africa,,2021-12-06,0.04
Africa,,2021-12-07,0.04
Africa,,2021-12-08,0.04
Africa,,2021-12-09,0.04
Africa,,2021-12-10,0.04
Africa,,2021-12-11,0.04
Africa,,2021-12-12,0.04
Africa,,2021-12-13,0.05
Africa,,2021-12-14,0.05
Africa,,2021-12-15,0.05
Africa,,2021-12-16,0.05
Africa,,2021-12-17,0.05
Africa,,2021-12-18,0.05
Africa,,2021-12-19,0.05
Africa,,2021-12-20,0.05
Africa,,2021-12-21,0.05
Africa,,2021-12-22,0.05
Africa,,2021-12-23,0.06
Africa,,2021-12-24,0.06
Africa,,2021-12-25,0.06
Africa,,2021-12-26,0.06
Africa,,2021-12-27,0.06
Africa,,2021-12-28,0.06
Africa,,2021-12-29,0.06
Africa,,2021-12-30,0.06
Albania,ALB,2021-11-03,0.1
Albania,ALB,2021-11-06,0.29
Albania,ALB,2021-11-07,0.31
Albania,ALB,2021-11-09,0.52
Albania,ALB,2021-11-10,0.64
Albania,ALB,2021-11-11,0.75
Albania,ALB,2021-11-14,0.98
Albania,ALB,2021-11-16,1.21
Albania,ALB,2021-11-17,1.34
Albania,ALB,2021-11-18,1.45
Albania,ALB,2021-11-21,1.65
Albania,ALB,2021-11-24,2
Albania,ALB,2021-11-25,2.11
Albania,ALB,2021-11-28,2.28
Albania,ALB,2021-11-30,2.35
Albania,ALB,2021-12-01,2.45
Albania,ALB,2021-12-03,2.72
Albania,ALB,2021-12-05,2.86
Albania,ALB,2021-12-06,2.98
Albania,ALB,2021-12-07,3.11
Albania,ALB,2021-12-08,3.18
Albania,ALB,2021-12-12,3.52
Albania,ALB,2021-12-13,3.66
Albania,ALB,2021-12-14,3.81
Albania,ALB,2021-12-15,3.95
Albania,ALB,2021-12-18,4.29
Albania,ALB,2021-12-21,4.54
Albania,ALB,2021-12-23,4.74
Albania,ALB,2021-12-28,5.01
Algeria,DZA,2021-11-21,0.03
Algeria,DZA,2021-11-25,0.05
Algeria,DZA,2021-11-29,0.06
Andorra,AND,2021-12-12,11.03
Anguilla,AIA,2021-11-29,4.38
Anguilla,AIA,2021-12-01,4.38
Anguilla,AIA,2021-12-08,6.49
Argentina,ARG,2021-11-15,1.96
Argentina,ARG,2021-11-17,2.29
Argentina,ARG,2021-11-19,2.64
Argentina,ARG,2021-11-20,2.77
Argentina,ARG,2021-11-21,2.84
Argentina,ARG,2021-11-22,2.91
Argentina,ARG,2021-11-23,3.11
Argentina,ARG,2021-11-25,3.49
Argentina,ARG,2021-11-27,3.88
Argentina,ARG,2021-11-28,3.94
Argentina,ARG,2021-11-29,4.14
Argentina,ARG,2021-11-30,4.36
Argentina,ARG,2021-12-01,4.67
Argentina,ARG,2021-12-02,4.99
Argentina,ARG,2021-12-03,5.22
Argentina,ARG,2021-12-04,5.38
Argentina,ARG,2021-12-05,5.46
Argentina,ARG,2021-12-07,5.65
Argentina,ARG,2021-12-08,5.96
Argentina,ARG,2021-12-10,6.43
Argentina,ARG,2021-12-11,6.6
Argentina,ARG,2021-12-12,6.71
Argentina,ARG,2021-12-13,6.99
Argentina,ARG,2021-12-14,7.28
Argentina,ARG,2021-12-15,7.68
Argentina,ARG,2021-12-16,8.03
Argentina,ARG,2021-12-17,8.37
Argentina,ARG,2021-12-18,8.56
Argentina,ARG,2021-12-19,8.7
Argentina,ARG,2021-12-20,9.05
Argentina,ARG,2021-12-22,9.39
Argentina,ARG,2021-12-23,9.72
Argentina,ARG,2021-12-24,9.98
Argentina,ARG,2021-12-26,10
Argentina,ARG,2021-12-27,10.07
Argentina,ARG,2021-12-28,11.01
Argentina,ARG,2021-12-30,12.1
Armenia,ARM,2021-12-26,0.02
Asia,,2021-04-10,0
Asia,,2021-04-11,0
Asia,,2021-04-12,0
Asia,,2021-04-13,0
Asia,,2021-04-14,0
Asia,,2021-04-15,0
Asia,,2021-04-16,0
Asia,,2021-04-17,0
Asia,,2021-04-18,0
Asia,,2021-04-19,0
Asia,,2021-04-20,0
Asia,,2021-04-21,0
Asia,,2021-04-22,0
Asia,,2021-04-23,0
Asia,,2021-04-24,0
Asia,,2021-04-25,0
Asia,,2021-04-26,0
Asia,,2021-04-27,0
Asia,,2021-04-28,0
Asia,,2021-04-29,0
Asia,,2021-04-30,0
Asia,,2021-05-01,0
Asia,,2021-05-02,0
Asia,,2021-05-03,0
Asia,,2021-05-04,0
Asia,,2021-05-05,0
Asia,,2021-05-06,0
Asia,,2021-05-07,0
Asia,,2021-05-08,0
Asia,,2021-05-09,0
Asia,,2021-05-10,0
Asia,,2021-05-11,0
Asia,,2021-05-12,0
Asia,,2021-05-13,0
Asia,,2021-05-14,0
Asia,,2021-05-15,0
Asia,,2021-05-16,0
Asia,,2021-05-17,0
Asia,,2021-05-18,0
Asia,,2021-05-19,0
Asia,,2021-05-20,0
Asia,,2021-05-21,0
Asia,,2021-05-22,0
Asia,,2021-05-23,0
Asia,,2021-05-24,0
Asia,,2021-05-25,0
Asia,,2021-05-26,0
Asia,,2021-05-27,0
Asia,,2021-05-28,0
Asia,,2021-05-29,0
Asia,,2021-05-30,0
Asia,,2021-05-31,0
Asia,,2021-06-01,0
Asia,,2021-06-02,0
Asia,,2021-06-03,0
Asia,,2021-06-04,0
Asia,,2021-06-05,0
Asia,,2021-06-06,0
Asia,,2021-06-07,0
Asia,,2021-06-08,0
Asia,,2021-06-09,0
Asia,,2021-06-10,0
Asia,,2021-06-11,0
Asia,,2021-06-12,0
Asia,,2021-06-13,0
Asia,,2021-06-14,0
Asia,,2021-06-15,0
Asia,,2021-06-16,0
Asia,,2021-06-17,0
Asia,,2021-06-18,0
Asia,,2021-06-19,0
Asia,,2021-06-20,0
Asia,,2021-06-21,0
Asia,,2021-06-22,0
Asia,,2021-06-23,0
