Entity,Code,Day,total_boosters_per_hundred
Africa,,2021-10-28,0
Africa,,2021-10-29,0
Africa,,2021-10-30,0.01
Africa,,2021-10-31,0.01
Africa,,2021-11-01,0.01
Africa,,2021-11-02,0.01
Africa,,2021-11-03,0.01
Africa,,2021-11-04,0.01
Africa,,2021-11-05,0.01
Africa,,2021-11-06,0.01
Africa,,2021-11-07,0.01
Africa,,2021-11-08,0.01
Africa,,2021-11-09,0.02
Africa,,2021-11-10,0.02
Africa,,2021-11-11,0.02
Africa,,2021-11-12,0.02
Africa,,2021-11-13,0.02
Africa,,2021-11-14,0.02
Africa,,2021-11-15,0.02
Africa,,2021-11-16,0.02
Africa,,2021-11-17,0.02
Africa,,2021-11-18,0.02
Africa,,2021-11-19,0.02
Africa,,2021-11-20,0.02
Africa,,2021-11-21,0.02
Africa,,2021-11-22,0.02
Africa,,2021-11-23,0.03
Africa,,2021-11-24,0.03
Africa,,2021-11-25,0.03
Africa,,2021-11-26,0.03
Africa,,2021-11-27,0.03
Africa,,2021-11-28,0.03
Africa,,2021-11-29,0.03
Africa,,2021-11-30,0.03
Africa,,2021-12-01,0.03
Africa,,2021-12-02,0.03
Africa,,2021-12-03,0.03
Africa,,2021-12-04,0.03
Africa,,2021-12-05,0.04
Africa,,2021-12-06,0.04
Africa,,2021-12-07,0.04
Africa,,2021-12-08,0.04
Africa,,2021-12-09,0.04
Africa,,2021-12-10,0.04
Africa,,2021-12-11,0.04
Africa,,2021-12-12,0.04
Africa,,2021-12-13,0.05
Africa,,2021-12-14,0.05
Africa,,2021-12-15,0.05
Africa,,2021-12-16,0.05
Africa,,2021-12-17,0.05
Africa,,2021-12-18,0.05
Africa,,2021-12-19,0.05
Africa,,2021-12-20,0.05
Africa,,2021-12-21,0.05
Africa,,2021-12-22,0.05
Africa,,2021-12-23,0.06
Africa,,2021-12-24,0.06
Africa,,2021-12-25,0.06
Africa,,2021-12-26,0.06
Africa,,2021-12-27,0.06
Africa,,2021-12-28,0.06
Africa,,2021-12-29,0.06
Africa,,2021-12-30,0.06
Africa,,2021-12-31,0.06
Africa,,2022-01-01,0.07
Africa,,2022-01-02,0.07
Africa,,2022-01-03,0.07
Africa,,2022-01-04,0.07
Africa,,2022-01-05,0.07
Africa,,2022-01-06,0.07
Africa,,2022-01-07,0.07
Africa,,2022-01-08,0.07
Africa,,2022-01-09,0.07
Africa,,2022-01-10,0.07
Africa,,2022-01-11,0.07
Africa,,2022-01-12,0.08
Africa,,2022-01-13,0.08
Africa,,2022-01-14,0.08
Africa,,2022-01-15,0.08
Africa,,2022-01-16,0.08
Africa,,2022-01-17,0.11
Africa,,2022-01-18,0.11
Africa,,2022-01-19,0.11
Africa,,2022-01-20,0.11
Africa,,2022-01-21,0.17
Africa,,2022-01-22,0.17
Africa,,2022-01-23,0.17
Africa,,2022-01-24,0.18
Africa,,2022-01-25,0.18
Albania,ALB,2021-11-03,0.1
Albania,ALB,2021-11-06,0.29
Albania,ALB,2021-11-07,0.31
Albania,ALB,2021-11-09,0.52
Albania,ALB,2021-11-10,0.64
Albania,ALB,2021-11-11,0.75
Albania,ALB,2021-11-14,0.98
Albania,ALB,2021-11-16,1.21
Albania,ALB,2021-11-17,1.34
Albania,ALB,2021-11-18,1.45
Albania,ALB,2021-11-21,1.65
Albania,ALB,2021-11-24,2
Albania,ALB,2021-11-25,2.11
Albania,ALB,2021-11-28,2.28
Albania,ALB,2021-11-30,2.35
Albania,ALB,2021-12-01,2.45
Albania,ALB,2021-12-03,2.72
Albania,ALB,2021-12-05,2.86
Albania,ALB,2021-12-06,2.98
Albania,ALB,2021-12-07,3.11
Albania,ALB,2021-12-08,3.18
Albania,ALB,2021-12-12,3.52
Albania,ALB,2021-12-13,3.66
Albania,ALB,2021-12-14,3.81
Albania,ALB,2021-12-15,3.95
Albania,ALB,2021-12-18,4.29
Albania,ALB,2021-12-21,4.54
Albania,ALB,2021-12-23,4.74
Albania,ALB,2021-12-28,5.01
Albania,ALB,2022-01-04,5.26
Albania,ALB,2022-01-05,5.35
Albania,ALB,2022-01-08,5.67
Albania,ALB,2022-01-10,5.8
Albania,ALB,2022-01-11,5.89
Albania,ALB,2022-01-13,6.08
Algeria,DZA,2021-11-21,0.03
Algeria,DZA,2021-11-25,0.05
Algeria,DZA,2021-11-29,0.06
Andorra,AND,2021-12-12,11.03
Andorra,AND,2021-12-26,11.34
Andorra,AND,2022-01-16,31.97
Anguilla,AIA,2021-11-29,4.38
Anguilla,AIA,2021-12-01,4.38
Anguilla,AIA,2021-12-08,6.49
Anguilla,AIA,2022-01-14,10.62
Anguilla,AIA,2022-01-21,11.61
Argentina,ARG,2021-11-15,1.96
Argentina,ARG,2021-11-17,2.29
Argentina,ARG,2021-11-19,2.64
Argentina,ARG,2021-11-20,2.77
Argentina,ARG,2021-11-21,2.84
Argentina,ARG,2021-11-22,2.91
Argentina,ARG,2021-11-23,3.11
Argentina,ARG,2021-11-25,3.49
Argentina,ARG,2021-11-27,3.88
Argentina,ARG,2021-11-28,3.94
Argentina,ARG,2021-11-29,4.14
Argentina,ARG,2021-11-30,4.36
Argentina,ARG,2021-12-01,4.67
Argentina,ARG,2021-12-02,4.99
Argentina,ARG,2021-12-03,5.22
Argentina,ARG,2021-12-04,5.38
Argentina,ARG,2021-12-05,5.46
Argentina,ARG,2021-12-07,5.65
Argentina,ARG,2021-12-08,5.96
Argentina,ARG,2021-12-10,6.43
Argentina,ARG,2021-12-11,6.6
Argentina,ARG,2021-12-12,6.71
Argentina,ARG,2021-12-13,6.99
Argentina,ARG,2021-12-14,7.28
Argentina,ARG,2021-12-15,7.68
Argentina,ARG,2021-12-16,8.03
Argentina,ARG,2021-12-17,8.37
Argentina,ARG,2021-12-18,8.56
Argentina,ARG,2021-12-19,8.7
Argentina,ARG,2021-12-20,9.05
Argentina,ARG,2021-12-22,9.39
Argentina,ARG,2021-12-23,9.72
Argentina,ARG,2021-12-24,9.98
Argentina,ARG,2021-12-26,10
Argentina,ARG,2021-12-27,10.07
Argentina,ARG,2021-12-28,11.01
Argentina,ARG,2021-12-30,12.1
Argentina,ARG,2021-12-31,12.22
Argentina,ARG,2022-01-01,12.26
Argentina,ARG,2022-01-02,12.46
Argentina,ARG,2022-01-04,13.83
Argentina,ARG,2022-01-06,15.22
Argentina,ARG,2022-01-08,16.31
Argentina,ARG,2022-01-09,16.62
Argentina,ARG,2022-01-10,17.22
Argentina,ARG,2022-01-11,17.91
Argentina,ARG,2022-01-12,18.61
Argentina,ARG,2022-01-13,19.31
Argentina,ARG,2022-01-14,20.01
Argentina,ARG,2022-01-15,20.38
Argentina,ARG,2022-01-16,20.66
Argentina,ARG,2022-01-18,21.31
Argentina,ARG,2022-01-19,22
Argentina,ARG,2022-01-20,23.3
Argentina,ARG,2022-01-21,23.88
Argentina,ARG,2022-01-22,24.22
Argentina,ARG,2022-01-23,24.45
Argentina,ARG,2022-01-25,24.98
Armenia,ARM,2021-12-26,0.02
Armenia,ARM,2022-01-02,0.03
